language,term,translation,parent,status
Spanish,electricista,electrician,,1
Spanish,ícono,icon,,1
Spanish,tecla,key,,1
Spanish,presionar,press; pressure; pressuring,,1
Spanish,configurar,set up; configure,,1
Spanish,tendencia,tendency; trend; trending,,1
Spanish,símbolo,symbol,,1
Spanish,los que,the ones who; those who; those,,1
Spanish,innecesario,unnecessary,,1
Spanish,enlace,link; marriage; bond,,1
Spanish,datos,return; facts; data,,1
Spanish,bloguero,blogger,,1
Spanish,robot,robot,,1
Spanish,el que,the one that; the one who,,1
Spanish,seguridad,self-confidence; security; safety,,1
Spanish,estafar,burn; ripped; scamming,,1
Spanish,adjuntar,includes; (to) attach,,1
Spanish,nombre de usuario,username,,1
Spanish,rúter,router,,1
Spanish,buscador,search engine,,1
Spanish,berenjena,eggplant,,1
Spanish,camarón,snooze; prawn; shrimp,,1
Spanish,horno,oven,,1
Spanish,dijera,tell; say; called,,1
Spanish,alimento,(I) feed; (I) am nourishing; (I) boost,,1
Spanish,chile,Chile; chili pepper; chili,,1
Spanish,orgánico,organic,,1
Spanish,tarta,pie; cake,,1
Spanish,trajéramos,bring,,1
Spanish,trajera,bring; would bring; brought,,1
Spanish,por último,finally; lastly,,1
Spanish,viniéramos,come,,1
Spanish,viniera,(I/he/she/it/you) arrive; (I/he/she/it/you) come; come,,1
Spanish,pavo,silly; turkey; naive,,1
Spanish,pimiento,pepper,,1
Spanish,espinaca,spinach,,1
Spanish,verdulería,produce market,,1
Spanish,líquido,net; cash; liquid,,1
Spanish,docena,dozen,,1
Spanish,calabacín,squash,,1
Spanish,guisante,pea,,1
Spanish,olla,pot,,1
Spanish,ilusionado,hopeful,,1
Spanish,educado,trained; educated; raised,,1
Spanish,hiciera,(I/he/she/it/you) write; (I/he/she/it/you) cook; (I/he/she/it/you) do,,1
Spanish,ocasión,occasion; time,,1
Spanish,estúpido,stupid; silly,,1
Spanish,aquí mismo,right here,,1
Spanish,pudiéramos,(we) be able to; could,,1
Spanish,anticuado,old fashioned,,1
Spanish,precioso,gorgeous; precious; valuable,,1
Spanish,pudiera,(he) could; was able; could,,1
Spanish,cita a ciegas,blind date,,1
Spanish,supiéramos,knew; know,,1
Spanish,tonto,fool; idiot; dummy,,1
Spanish,chiste,joke; funny; comic strips,,1
Spanish,supiera,knew; (I/he/she/it/you) know; (I/he/she/it/you) taste,,1
Spanish,estuviera,were; (I) was; was,,1
Spanish,discusión,discussion; debate; argument,,1
Spanish,tuviera,had; have; has,,1
Spanish,desilusionado,disappointed,,1
Spanish,evidente,clear; obvious; evident,,1
Spanish,al aire libre,outdoor; outdoors,,1
Spanish,introvertido,introverted,,1
Spanish,fuéramos,(we) were; go; were,,1
Spanish,limpiaran,clean; cleaned,,1
Spanish,pintara,paint; would paint,,1
Spanish,fregar,scrub; wash; mopping,,1
Spanish,al menos,anyway; at least,,1
Spanish,timbre,doorbell; ringing,,1
Spanish,barriera,sweep,,1
Spanish,arreglaran,fix; set up,,1
