language,term,translation,parent,status
Spanish,raya,(you-formal) crack up; (he/she/it) goes off one's rocker; (you-formal) pay,,1
Spanish,combinar,go; goes; matches,,1
Spanish,saco,work; a sleeping bag; borrow,,1
Spanish,suelto,loose; free; give,,1
Spanish,chaleco,vest,,1
Spanish,apenas,scarce; as soon as; barely,,1
Spanish,pásamela,pass it to me,,1
Spanish,tírasela,kick it to him; throw it to him,,1
Spanish,atájaselo,stop it,,1
Spanish,atajar,arrested; arrest; stop,,1
Spanish,suavemente,gently; softly,,1
Spanish,atrapar,caught; catch; to catch,,1
Spanish,atrápenla,catch her; catch,,1
Spanish,arco,goal,,1
Spanish,tires,throw; throw away; (you) pull,,1
Spanish,fuerza,(he/she/it) forces; strength; force!,,1
Spanish,patees,kick,,1
Spanish,tirar,(to) throw out / away; throwing away; waste,,1
Spanish,patéala,kick it,,1
Spanish,grites,(you) shout; yell,,1
Spanish,lancen,throw,,1
Spanish,echar,(to) get; pour; getting,,1
Spanish,patear,kicking; kick,,1
Spanish,penal,penalty,,1
Spanish,pásame,happen (me)!; go through (me)!; pass (on) (me)!,,1
Spanish,portero,goalkeeper; doorman; goalie,,1
Spanish,pegar,gave; setting; paste,,1
Spanish,entrenador,coach; trainer,,1
Spanish,escúchalo,listen to it,,1
Spanish,tírame,throw it to me; throw,,1
Spanish,análisis,calculi; calculus; analysis,,1
Spanish,presupuesto,(I) plan; budget; estimate,,1
Spanish,recomendar,recommend; advise; counsel,,1
Spanish,en cuanto a,as far as; as for; with regard to,,1
Spanish,lograr,(to) be able to; achieving; pull,,1
Spanish,realista,realistic; practical,,1
Spanish,principalmente,mainly,,1
Spanish,venta,roadside bar/restaurant; hostelry; sale,,1
Spanish,es bueno que,it's good that,,1
Spanish,por mi parte,I; for one,,1
Spanish,revisar,checking; review; go over,,1
Spanish,contrato,(I) hire; (I) sign up; (I) take on,,1
Spanish,es mejor que,it's better that,,1
Spanish,conferencia,conference; talk; lecture,,1
Spanish,proponer,move; (to) suggest; proposes,,1
Spanish,felicidad,happiness,,1
Spanish,besar,kiss; kissing,,1
Spanish,mago,magician; wizard,,1
Spanish,salir con,(to) date; dating; sees,,1
Spanish,sonreír,(to) smile on; smile; (to) smile,,1
Spanish,a primera vista,at first sight; on the surface,,1
Spanish,sentido del humor,sense of humor,,1
Spanish,prioridad,priority,,1
Spanish,sería,made; were; would be,,1
Spanish,capaz,able to; able; capable,,1
Spanish,sugerir,argue; suggest,,1
Spanish,enamorado,in love,,1
Spanish,para siempre,forever,,1
Spanish,por mi culpa,because of me,,1
Spanish,luna de miel,honeymoon,,1
Spanish,pulsera,bracelet,,1
Spanish,abrazar,(to) hug; (to) encircle; (to) hug each other,,1
Spanish,voz,sound; word; shouts,,1
Spanish,enamorarse,to fall in love; to fall in love with; to be in love,,1
Spanish,divorciarse,divorce; divorced,,1
Spanish,para nada,not at all; at all,,1
Spanish,desacuerdo,disagreement,,1
Spanish,conclusión,completion; summing-up; conclusion,,1
Spanish,lo mismo,the same thing,,1
Spanish,en general,generally; large; all in all,,1
Spanish,lo contrario,opposite,,1
Spanish,a pesar de,despite; In spite of; although,,1
Spanish,ponerse de acuerdo,agree,,1
Spanish,como siempre,as usual; as always,,1
Spanish,obviamente,clearly; obviously,,1
Spanish,está bien,okay,,1
Spanish,inventar,made; thought; thoughts,,1
Spanish,en serio,truly; really; seriously,,1
Spanish,en contra de,against,,1
Spanish,locura,madness; insanity; crazy thing,,1
Spanish,sinceramente,honestly; sincerely,,1
Spanish,lo que,things; that; which,,1
Spanish,tontería,nonsense,,1
Spanish,enojarse,get angry,,1
Spanish,opuesto,opposite,,1
Spanish,caer granizo,hail,,1
Spanish,nublarse,film; films,,1
Spanish,despejar,clear; clearer; clear up,,1
Spanish,neblina,mist; fog,,1
Spanish,brisa,air; breeze,,1
Spanish,en cualquier momento,anytime; any time,,1
Spanish,por eso,that is why; so,,1
Spanish,cubierto,covered; indoor; setting,,1
Spanish,tronar,click; thundering,,1
Spanish,lloviznar,drizzle,,1
Spanish,temporal,temporary; worldly; temporal,,1
Spanish,bajar,go downstairs; (to) get off; roll,,1
Spanish,nevada,fall; snow; snowfall,,1
Spanish,parece que,(it) sounds like; looks like; seems like,,1
Spanish,inundación,flood,,1
Spanish,humedad,humidity; dampness; moisture,,1
Spanish,rayo,highlights; (I) get scratched; beam,,1
Spanish,tormenta eléctrica,thunderstorm,,1
Spanish,trueno,click; thunder,,1
Spanish,pronóstico,pick; forecast,,1
Spanish,despejado,free; clear; clearer,,1
Spanish,templado,warmer; warm; temperate,,1
Spanish,ahorros,savings,,1
Spanish,depósito,stores; deposit; storage,,1
Spanish,registrarse,(to) register (oneself); (to) check in (oneself); (to) search (oneself),,1
Spanish,recomendación,reference; recommendation,,1
Spanish,saldo,square; clear; balance,,1
Spanish,transferencia,transfer,,1
Spanish,móvil,motive; mobile (telephone); moving object,,1
Spanish,retirar,move; pull; retire,,1
Spanish,tarjeta de débito,debit card,,1
Spanish,cuenta corriente,checking account,,1
Spanish,límite,boundary; limit,,1
Spanish,requisito,requirement,,1
Spanish,ayúdala,help her,,1
Spanish,léalo,read it,,1
Spanish,depositar,depositing; deposit; setting,,1
Spanish,sucursal,branch,,1
Spanish,billete,ticket; bill,,1
Spanish,moneda,coin; currency; piece,,1
Spanish,cajero,teller; cashier; bank teller,,1
Spanish,talento,talent,,1
Spanish,confirmado,confirmed,,1
Spanish,orquesta,orchestra,,1
Spanish,entretenido,entertained; fun; entertaining,,1
Spanish,muestra,(she) presents; show; shows,,1
Spanish,contemporáneo,contemporary,,1
Spanish,reconocido,reconnoitered; acknowledged; obliged,,1
Spanish,acción,plot; share; act,,1
Spanish,documental,documentary,,1
Spanish,vendido,sold,,1
Spanish,banda,band,,1
Spanish,anteriormente,before; previously,,1
Spanish,versión,model; covers; translation,,1
Spanish,recomendado,recommended; registered; advised,,1
Spanish,boxeo,boxing; fighting,,1
Spanish,despedirse,saying goodbye,,1
Spanish,injusto,unfair,,1
Spanish,competidor,competitor,,1
Spanish,pelear,fight; fighting,,1
Spanish,marcar,beat; said; gave,,1
Spanish,empatar,tie; tying; drawn,,1
Spanish,hincha,fan; fans,,1
Spanish,golfista,golfer,,1
Spanish,talentoso,talented,,1
Spanish,campeón,champion,,1
Spanish,tenista,tennis player,,1
Spanish,entrenamiento,training; training session; practice,,1
Spanish,de pie,standing,,1
Spanish,juntarse,hang out; getting; get,,1
Spanish,cancha,court; field; course,,1
Spanish,futbolista,soccer player,,1
Spanish,gol,goal,,1
Spanish,personalmente,personally,,1
Spanish,pícnic,picnic,,1
Spanish,permiso,permission; license; permit,,1
Spanish,en vivo,live,,1
Spanish,palacio,palace,,1
Spanish,impresionante,awesome; impressive,,1
Spanish,habían,had; were; there were,,1
Spanish,habíamos,(we) were is; (we) is (past); (we) used to have,,1
Spanish,olvidado,left … behind; forget; forgot,,1
Spanish,prometido,engaged; fiancé; promised,,1
Spanish,conseguir,score; find; getting,,1
Spanish,habías,(you) were having; (you) were is; (you) used to is,,1
Spanish,serie,show; setting; series,,1
Spanish,alguna vez,ever; sometime; ever before,,1
Spanish,sido,been; made; being,,1
Spanish,ganado,beaten; won; earned,,1
Spanish,ladrón,thief; robber,,1
Spanish,tornado,tornado,,1
Spanish,afortunadamente,fortunately; luckily; thankfully,,1
Spanish,caído,heavier; heavy; fallen,,1
Spanish,descubrir,uncover; (to) find out; (to) give oneself away,,1
Spanish,incendio,fire,,1
Spanish,leído,read,,1
Spanish,aún,even; still; yet,,1
Spanish,candidato,candidate,,1
Spanish,liga,(he/she/it) alloys; (he/she/it) gives … the come-on; bust!,,1
Spanish,campeonato,championship; championships; tournament,,1
Spanish,decidido,decided; made up my mind; determined,,1
Spanish,desempleo,unemployment; joblessness,,1
Spanish,tomado,made; drunk; had,,1
Spanish,enterado,found out; well-informed; aware,,1
Spanish,publicado,published; disclosed; divulged,,1
Spanish,medida,weighed up; tried on; gauged,,1
Spanish,al final,in the end,,1
Spanish,convencer,getting; convince; get,,1
Spanish,entregar,handing; deliver; getting,,1
Spanish,mentir,(to) lie; lying; lied,,1
Spanish,compositor,composer; songwriter,,1
Spanish,exitoso,successful,,1
Spanish,recital,recital,,1
Spanish,sorprender,caught; takes; take,,1
Spanish,ahora mismo,right now,,1
Spanish,pasar por,stop by; going through,,1
Spanish,consultar,(to) consult; (to) look up; (to) provide,,1
Spanish,participar,(to) participate; (to) take part; (to) announce,,1
Spanish,nunca más,ever again,,1
Spanish,aumentar,pays; better; increasing,,1
Spanish,portarse,behaves; behave; behaved,,1
Spanish,prometer,promise,,1
Spanish,sueldo,salary; wage,,1
Spanish,avisar,inform; warn,,1
Spanish,frió,fried; (?) did he fry,,1
Spanish,crudo,harsh; brilliant; excellent,,1
Spanish,freí,fried,,1
Spanish,pepino,cucumber,,1
Spanish,siguió,kept; go; follow,,1
Spanish,sabroso,flavorful; juicy; tasty,,1
Spanish,seguí,(I) kept; go on!; (I) continued,,1
Spanish,piña,pineapple,,1
Spanish,felicitar,congratulate,,1
Spanish,se sintió,(he) felt,,1
Spanish,me sentí,felt,,1
Spanish,eligió,(she) chose; (he) chose; choose,,1
Spanish,elegí,(I) chose; choose,,1
Spanish,preferí,preferred,,1
Spanish,prefirió,preferred,,1
Spanish,repetí,had seconds; repeated; have seconds,,1
Spanish,serví,served; help,,1
Spanish,sirvió,served; (he/she/it/you) functioned; (he/she/it/you) worked,,1
Spanish,repitió,repeated,,1
Spanish,cuanto antes,as soon as possible,,1
Spanish,campus,campuses; campus,,1
Spanish,inscribirse,enroll; register; book,,1
Spanish,repasar,reviews; run; go,,1
Spanish,universitario,college; university,,1
Spanish,comentario,commentary; comment; call,,1
Spanish,terminen,finishes; (they/you-plural) be over; finish,,1
Spanish,materia,subject; matter; class,,1
Spanish,hablen,speak; talk; they're talking,,1
Spanish,método,method; handbook; course book,,1
Spanish,aprendan,(they/you-plural) learn; learn!; learn,,1
Spanish,leas,(you) read; read,,1
Spanish,economía,economics; finances; economy,,1
Spanish,sociología,sociology,,1
Spanish,estudies,(you) study; study,,1
Spanish,escribas,(you) write; write; scribe,,1
Spanish,puntual,punctual,,1
Spanish,relajado,relaxed; easygoing,,1
Spanish,regular,scheduled; ordinary; not very good,,1
Spanish,aunque,although; though; even though,,1
Spanish,razonable,reasonable; sensible,,1
Spanish,escena,scene,,1
Spanish,cansador,tiring,,1
Spanish,además,what's more; moreover; besides,,1
Spanish,húmedo,humid; wet; damp,,1
Spanish,salmón,salmon,,1
Spanish,radiante,radiant; brilliant,,1
Spanish,deprimido,depressed; miserable,,1
Spanish,extrovertido,extroverted; outgoing,,1
Spanish,conversador,talkative,,1
Spanish,callado,kept … to oneself; kept … quiet; been quiet,,1
Spanish,fotografía,photography; photo; photograph,,1
Spanish,cuadro,painting; picture,,1
Spanish,exposición,show; exhibit; showing,,1
Spanish,estresante,stressful,,1
Spanish,reportero,reporter,,1
Spanish,socio,business partner; member; partner,,1
Spanish,ansioso,excited; eager; anxious,,1
Spanish,gráfico,graphic,,1
Spanish,impaciente,impatient; restless,,1
Spanish,tener razón,be right,,1
Spanish,orgulloso,proud; prideful,,1
Spanish,ni idea,no idea,,1
Spanish,desempleado,unemployed,,1
Spanish,contador,accountant,,1
Spanish,arquitecto,architect,,1
Spanish,separarse,broken; splitting up; pull,,1
Spanish,sincero,sincere; open; honest,,1
Spanish,arrogante,arrogant,,1
Spanish,llevarse,walks; getting; wash,,1
Spanish,las afueras de la ciudad,suburbs,,1
Spanish,fotocopia,copy; photocopy,,1
Spanish,primer piso,ground floor,,1
Spanish,informe,report; inform,,1
Spanish,técnico,trainer; coach; technical,,1
Spanish,favor,favor,,1
Spanish,navegador,browser,,1
Spanish,equipo de música,sound system,,1
Spanish,volumen,volume,,1
Spanish,cámara web,webcam,,1
Spanish,virus,virus; viruses,,1
Spanish,antivirus,antivirus software; antivirus,,1
Spanish,enchufar,be plugged in; plug in,,1
Spanish,aplicación,application; app,,1
Spanish,sin querer,by accident,,1
Spanish,arreglar,to tidy up; straighten up; to arrange,,1
Spanish,wifi,wifi,,1
Spanish,cargador,charger,,1
Spanish,mensaje de voz,voicemail,,1
Spanish,reenviar,resend,,1
Spanish,miremos,watch; look at,,1
Spanish,escultura,sculpture,,1
Spanish,lean,(they/you-plural) read; read!; read,,1
Spanish,poeta,poet,,1
Spanish,ojalá,I wish; I hope; hopefully,,1
Spanish,aprendamos,we learn; we are learning; let's learn,,1
Spanish,letra,arts; letter; lyrics,,1
Spanish,pronunciación,pronunciation,,1
Spanish,disfrutes,enjoy; are enjoying,,1
Spanish,aniversario,anniversary,,1
Spanish,pasemos,let's head; spend; stop by,,1
Spanish,celebren,celebrate,,1
Spanish,vivan,live!; (they/you-plural) be alive; be alive!,,1
Spanish,en vez de,instead of,,1
Spanish,aprenda,learns; learn,,1
Spanish,comedia,comedy; play,,1
Spanish,comamos,(we) eat; let's eat; eat,,1
Spanish,viajen,travel,,1
Spanish,graduación,graduation,,1
Spanish,invite,(you) invite; invites; invite,,1
Spanish,turístico,tourist; tour,,1
Spanish,trabajes,(you) work; work,,1
Spanish,colombiano,Colombian,,1
Spanish,hagamos,let's do; let's throw; let's have,,1
Spanish,paisaje,scenery; landscape,,1
Spanish,lleguemos,get; let's arrive; be,,1
Spanish,extraordinario,unusual; additional; outstanding,,1
Spanish,busquemos,let's look for; look for; let's look up,,1
Spanish,organicemos,let's organize,,1
Spanish,encontremos,let's find; meet; find,,1
Spanish,cerremos,let's close; close,,1
Spanish,volvamos,(let us) turn; (let us) go back; (let us) turn / dig over,,1
Spanish,confirmar,confirmed; confirm,,1
Spanish,y si,what if,,1
Spanish,veamos,let's see; see; let's watch,,1
Spanish,hostal,hostel,,1
Spanish,pasarla bien,have a good time,,1
Spanish,decidamos,let's decide,,1
Spanish,Caribe,Caribbean,,1
Spanish,compremos,Let's buy; buy,,1
Spanish,lujo,luxury,,1
Spanish,alojamiento,accommodation; accommodations; lodging,,1
Spanish,cinturón de seguridad,seat belt; seatbelt,,1
Spanish,respetar,respects; respect,,1
Spanish,señal de tránsito,street sign,,1
Spanish,cruce peatonal,crosswalk,,1
Spanish,licencia de conducir,driver's license,,1
Spanish,camino,way; road; path,,1
Spanish,tener que,have to; must,,1
Spanish,ten cuidado,careful,,1
Spanish,chocar,crash,,1
Spanish,estacionamiento,parking; parking lot,,1
Spanish,tránsito,traffic,,1
Spanish,ubicación,location,,1
Spanish,prohibido,not allowed; forbidden; no,,1
Spanish,dobles,double; turn,,1
Spanish,auto,car; auto; writ,,1
Spanish,semáforo,traffic signal(s ); stoplight; traffic lights,,1
Spanish,ambulancia,ambulance,,1
Spanish,atender,assist; tend to; answer,,1
Spanish,consultorio,practice; consultancy; surgery,,1
Spanish,operación,operation; surgery; transaction,,1
Spanish,operar,fixed; run; running,,1
Spanish,cirujano,surgeon,,1
Spanish,rodilla,knee,,1
Spanish,hombro,shoulder,,1
Spanish,llame,(I/he/she/it/you) telephone; phone!; (I/he/she/it/you) phone,,1
Spanish,aspirina,aspirin,,1
Spanish,gripe,cold; flu,,1
Spanish,fiebre,fever; a fever,,1
Spanish,garganta,gorge; throat; freeloader,,1
Spanish,últimamente,lately; recently,,1
Spanish,suspenso,suspense; hanging,,1
Spanish,a punto de,about to,,1
Spanish,moverse,move; moved; moves,,1
Spanish,disfraz,front; disguise; fancy dress costume,,1
Spanish,monstruo,monster,,1
Spanish,fantasma,specter; bogus; ghost,,1
Spanish,de repente,suddenly; all of a sudden; perhaps,,1
Spanish,silencio,quiet; (you) be quiet; silent,,1
Spanish,misterio,mystery; mystery play,,1
Spanish,paso,(I) spend; (I) am spending; step,,1
Spanish,oscuridad,dark; darkness,,1
Spanish,de terror,scary; horror,,1
Spanish,pesadilla,nightmare,,1
Spanish,daba,(I/he/she/it/you) was/were giving; (I/he/she/it/you) was/were hitting; (I/he/she/it/you) was/were administering,,1
Spanish,esconderse,hiding; ducks; go,,1
Spanish,grito,crying; cry; call,,1
Spanish,asesino,killer; assassin; killers,,1
Spanish,sombra,blemish; cooler; nick,,1
Spanish,se come,eats; people eat; (you)  eat,,1
Spanish,animado,lively,,1
Spanish,se regalan,people give gifts,,1
Spanish,se regala,people give a gift,,1
Spanish,tango,tango,,1
Spanish,ceremonia,ceremony; exercise; exercises,,1
Spanish,se baila,people dance,,1
Spanish,se celebran,are celebrated,,1
Spanish,se celebra,is celebrated,,1
Spanish,carnaval,carnival; carnaval,,1
Spanish,celebración,celebrations; celebration,,1
Spanish,se trabaja,people work,,1
Spanish,se vive,(you)  live; (he/she/it)  lives; people live,,1
Spanish,cultural,cultural,,1
Spanish,tradicional,traditional,,1
Spanish,se almuerza,people eat lunch,,1
Spanish,se desayuna,people eat breakfast,,1
Spanish,costumbre,custom; habit; practice,,1
Spanish,retrasado,delayed; late,,1
Spanish,a tiempo,on time,,1
Spanish,caerse,fall; falling; go,,1
Spanish,crucero,cruise,,1
Spanish,jugué,(I) gambled; (I) went; (I) played with,,1
Spanish,tiburón,shark; raider,,1
Spanish,sobrino,nephew,,1
Spanish,busqué,looked; searched for; want,,1
Spanish,madrastra,stepmother; stepmom,,1
Spanish,padrastro,stepfather; stepdad,,1
Spanish,poesía,poetry,,1
Spanish,saludar,greet; (to) wave; saying hello,,1
Spanish,telenovela,soap opera,,1
Spanish,más o menos,so so; around; approximately,,1
Spanish,década,decade,,1
Spanish,desde hace,for; since; in,,1
Spanish,yoga,yoga,,1
Spanish,trompeta,trumpet,,1
Spanish,lotería,lottery; numbers,,1
Spanish,músico,musician; composer,,1
Spanish,desde que,ever since; since,,1
Spanish,cabaña,cabin,,1
Spanish,despierto,(I) wake up; awake; wake,,1
Spanish,en punto,o'clock,,1
Spanish,sin parar,nonstop; without stopping,,1
Spanish,extrañar,missed; long; longer,,1
Spanish,durar,hold; wears; last,,1
Spanish,enséñame,teach me; show me,,1
Spanish,pregúntele,ask; ask him; ask her,,1
Spanish,pregúnteselo,ask; ask him; ask her,,1
Spanish,matricularse,enroll; register; enrolling,,1
Spanish,beca,scholarship,,1
Spanish,dígale,tell; tell him; tell her,,1
Spanish,obligatorio,obligatory; mandatory,,1
Spanish,pídaselo,ask him for it; ask her for it,,1
Spanish,apropiado,right; met; meet,,1
Spanish,dele,give,,1
Spanish,lea,read,,1
Spanish,envíele,send him; send; send her,,1
Spanish,explicación,explanation,,1
Spanish,envíeselo,send it to her; send it to him; send it,,1
Spanish,dile,tell him; tell her; tell,,1
Spanish,pídeselo,ask; ask him for it; ask her for it,,1
Spanish,pídele,ask for; ask; ask him for,,1
Spanish,dale,(you) give; give; go ahead,,1
Spanish,equivocado,mistaken; wrong; false,,1
Spanish,explícame,explain to me,,1
Spanish,ayúdame,help me,,1
Spanish,préstame,pay to me; lend me,,1
Spanish,préstamelo,lend it to me,,1
Spanish,explícamelo,explain it to me,,1
Spanish,enseñándoles,show; showing them; show them,,1
Spanish,enviándole,sending; send,,1
Spanish,solicitud,concern; requests; solicitude,,1
Spanish,máximo,most; top; maximum,,1
Spanish,llamándola,calling her,,1
Spanish,ayudándolas,helping them,,1
Spanish,montón,lots; load; lot,,1
Spanish,urgente,immediate; urgent; express,,1
Spanish,contratar,take; hire; book,,1
Spanish,promoción,play-off; promotion; sale,,1
Spanish,traductor,translator,,1
Spanish,rato,while; time,,1
Spanish,actualizar,update; (to) realize; (to) upgrade,,1
Spanish,contestar,answer; getting; get,,1
Spanish,continuar,go; continue; going,,1
Spanish,seguimos,(we) kept; (we) continue; (we) took,,1
Spanish,sigues,still; (you) follow; (you) continue,,1
Spanish,sigo,(I) go on; go; follow,,1
Spanish,cueva,cave,,1
Spanish,araña,chandelier; scratch!; spider,,1
Spanish,ángel,charm; angel,,1
Spanish,cocodrilo,crocodile,,1
Spanish,habría,would have; had; have,,1
Spanish,por todas partes,about; everywhere,,1
Spanish,valiente,brave,,1
Spanish,imaginación,imagination,,1
Spanish,arena,arena; sand; ring,,1
Spanish,invisible,invisible,,1
Spanish,gigante,giant,,1
Spanish,sabrías,(you) would taste; (you) would know; know,,1
Spanish,mágico,magic; magical,,1
Spanish,reciclar,to recycle; recycle; recycling,,1
Spanish,desordenado,messy,,1
Spanish,ordenar,clean up; pick; clearer,,1
Spanish,tareas domésticas,housework,,1
Spanish,barrer,driven; drive; sweeping,,1
Spanish,planchar,iron; press,,1
Spanish,sábana,sheet; bedsheet,,1
Spanish,quitar,beat; getting; remove,,1
Spanish,mancha,stain; soil; dirty,,1
Spanish,aspiradora,vacuum cleaner,,1
Spanish,escalera,stairs; steps; ladder,,1
Spanish,grifo,faucet,,1
Spanish,lavavajillas,dishwasher,,1
Spanish,congelador,freezer,,1
Spanish,comprándoles,buying them,,1
Spanish,de ida y vuelta,return; returns,,1
Spanish,agradecerle,thank her; thank him,,1
Spanish,invitarlos,invite them; inviting,,1
Spanish,emergencia,emergency,,1
Spanish,estresado,stressed,,1
Spanish,pastilla,pill,,1
Spanish,qué te pasa,what's wrong,,1
Spanish,débil,weak; fragile; feeble,,1
Spanish,atención,attention; service; focus,,1
Spanish,invento,(I) invent; invention; (I) make up,,1
Spanish,alfabeto,alphabet,,1
Spanish,universo,universe,,1
Spanish,los años,the,,1
Spanish,histórico,historic; historical,,1
Spanish,infancia,children; childhood; infancy,,1
Spanish,personaje,important figure; character; personage,,1
Spanish,período,term; spell; period,,1
Spanish,atleta,athlete,,1
Spanish,torneo,(I) turn; (I) throw; tournament,,1
Spanish,árbitro,referee,,1
Spanish,gasolinera,gas station,,1
Spanish,carnicería,butcher shop,,1
Spanish,comisaría,police station,,1
Spanish,delante de,before; ahead,,1
Spanish,luminoso,bright; brilliant,,1
Spanish,balcón,observation point; circle; balcony,,1
Spanish,papelería,stationery shop,,1
Spanish,ayuntamiento,town/city hall; town/city council,,1
Spanish,reunirse,getting; join; meeting,,1
Spanish,parecer,looked; appears; mind,,1
Spanish,estrecho,slim; close; closed,,1
Spanish,pasear,go for walks; (to) go for a walk; (to) go for a drive,,1
Spanish,criar,(to) suckle; (to) grow up; (to) breed,,1
Spanish,cruel,cruel,,1
Spanish,generoso,richer; biggest; rich,,1
Spanish,reservado,private room; reserved; kept … for oneself,,1
Spanish,serio,serious; straight; (I) mass-produce,,1
Spanish,antipático,unfriendly,,1
Spanish,paciencia,patience,,1
Spanish,divorciado,divorced,,1
Spanish,gay,gay,,1
Spanish,viudo,widower; a widower,,1
Spanish,jubilado,retired,,1
Spanish,egoísta,selfish,,1
Spanish,eficiente,efficient,,1
Spanish,amistad,friends; friendship,,1
Spanish,hijo único,an only child,,1
Spanish,confiar,trust; take; give,,1
Spanish,con calma,calmly; easy; easier,,1
Spanish,personalidad,personality; personalities,,1
Spanish,tímido,shy; timid,,1
Spanish,lentejas,lentils,,1
Spanish,poniendo,playing; setting; getting,,1
Spanish,cocinando,cooking,,1
Spanish,poniéndola,putting it,,1
Spanish,cocinándolas,cooking them,,1
Spanish,llamándolo,calling him,,1
Spanish,llamando,calling; I'm giving a call,,1
Spanish,visitando,visiting,,1
Spanish,visitándolos,visiting them,,1
Spanish,viendo,watching; looking; seeing,,1
Spanish,autor,perpetrator; writer; author,,1
Spanish,ficción,fiction,,1
Spanish,biografía,biography,,1
Spanish,academia,academy; school,,1
Spanish,eligiendo,choosing; picking,,1
Spanish,en este momento,right now; at the moment,,1
Spanish,corrigiendo,reading; correcting,,1
Spanish,siguiendo,following,,1
Spanish,acento,accent; stress,,1
Spanish,respondiendo,answering; replying to; responding,,1
Spanish,multiplicar,multiply,,1
Spanish,línea,line,,1
Spanish,héroe,hero,,1
Spanish,alguna,any; one; either,,1
Spanish,regional,regional,,1
Spanish,votar,(to) approve; (to) vote to approve; vote,,1
Spanish,municipal,municipal; local,,1
Spanish,reportaje,report; story; article,,1
Spanish,mencionar,mention; touch; mentioned,,1
Spanish,tolerante,tolerant,,1
Spanish,oficial,skilled worker; official; officer,,1
Spanish,optimista,optimistic; optimist,,1
Spanish,sociedad,society; company; high society,,1
Spanish,voluntario,volunteer; volunteers,,1
Spanish,comunidad,community,,1
Spanish,algunos,a few; some; any,,1
Spanish,inmigración,immigration,,1
Spanish,derechos,rights,,1
Spanish,público,public; gate; open,,1
Spanish,ilegal,illegal,,1
Spanish,social,undercover police officer; company; social,,1
Spanish,humano,human being; humane; human,,1
Spanish,demócrata,Democrat; Democrats,,1
Spanish,elección,election; choice; elections,,1
Spanish,debate,(he/she/it) discusses; discuss!; discussion,,1
Spanish,gobierno,government; (I) steer; administration,,1
Spanish,republicano,Republican; Republicans,,1
Spanish,beneficio,dressing; charity performance; profit,,1
Spanish,profesional,professional,,1
Spanish,valor,value; cost; worth,,1
Spanish,servicio,service,,1
Spanish,general,general,,1
Spanish,producto,product; result,,1
Spanish,tercio,(I) sling; (I) tilt; (I) set … at a tilt,,1
Spanish,exportar,export,,1
Spanish,producción,manufacture; output; production,,1
Spanish,abogado,lawyer; counsel,,1
Spanish,desorganizado,disorganized,,1
Spanish,quien,who; that; whom,,1
Spanish,asistente,assistant,,1
Spanish,ley,acting; acted; assay value,,1
Spanish,rol,crew list; muster roll; role,,1
Spanish,firma,signature; signs; sign,,1
Spanish,búsqueda,search,,1
Spanish,dato,facts; piece of information; information,,1
Spanish,empleado,clerk; teller; got/gotten a job,,1
Spanish,contabilidad,accounting,,1
Spanish,copia,copying; copy; copies,,1
Spanish,calculadora,calculator; calculating,,1
Spanish,profesión,calling; profession; career,,1
Spanish,dedicarse,dedicate; work,,1
Spanish,competir,compete; competing; racing,,1
Spanish,concurso,(I) compete; (I) take part; (I) declare … insolvent,,1
Spanish,u,u; or,,1
Spanish,secreto,(I) secrete; secret; classified,,1
Spanish,imaginar,(to) think up; (to) imagine; (to) come up with,,1
Spanish,cultura,culture; arts,,1
Spanish,en mi lugar,if you were me,,1
Spanish,imaginario,imaginary,,1
Spanish,éxito,success; succeeded; successful,,1
Spanish,planeta,planet,,1
Spanish,tiempo libre,free time; spare time; leisure time,,1
Spanish,relajarse,relax,,1
Spanish,divertirse,fun; to have fun; parties,,1
Spanish,basura,trash; garbage; rubbish,,1
Spanish,sacar,stick; score; getting,,1
Spanish,gemelo,twin brother; twin,,1
Spanish,maquillarse,made; to put on makeup; makes,,1
Spanish,rutina,routine,,1
Spanish,tanto como,as much as,,1
Spanish,al mismo tiempo,time; at the same time,,1
Spanish,activo,asset; (I) take active steps; (I) start working,,1
Spanish,despertador,alarm clock,,1
Spanish,menos que,less than,,1
Spanish,material,material; materials; actual,,1
Spanish,cobrar,claims; cash; charge,,1
Spanish,cantidad,quantity; amount; length,,1
Spanish,raro,weird; rare; strange,,1
Spanish,deber,duty; assignment; (to) owe,,1
Spanish,objeto,object; (I) object; article,,1
Spanish,calefacción,heating; heat,,1
Spanish,sección,section; department,,1
Spanish,renovar,renovate; renew,,1
Spanish,electrodoméstico,electrical; electrical appliance; Appliances,,1
Spanish,entrega,delivery; shipment; ferry,,1
Spanish,por ciento,percent,,1
Spanish,botón,button,,1
Spanish,aire acondicionado,air conditioning; air conditioner,,1
Spanish,estilo,kind; (I) drip; stroke,,1
Spanish,adicional,add; spare; extra,,1
Spanish,forma,fit; shape; way,,1
Spanish,mediano,average; medium; mediocre,,1
Spanish,mesa de noche,night table; nightstand,,1
Spanish,comedor,dining room; halle,,1
Spanish,guiar,to guide; (to) lead,,1
Spanish,típico,vintage; typical; classic,,1
Spanish,apellido,last name,,1
Spanish,antiguo,ancient; sometime; old,,1
Spanish,agencia,agency; office; dealership,,1
Spanish,dueño,owner; proprietor; landlord,,1
Spanish,itinerario,itinerary,,1
Spanish,espectacular,spectacular,,1
Spanish,distrito,district,,1
Spanish,tour,tour,,1
Spanish,hispanohablante,Spanish-speaking,,1
Spanish,frontera,border; frontier,,1
